file	librarysize
SRR17243410	83719972
SRR17243411	87690244
SRR17243412	81889049
SRR17243413	84908696
SRR17243414	85532558
SRR17243415	86812061
SRR17243416	52560951
SRR17243417	48192368
SRR17243418	84657379
SRR17243419	81214075
SRR17243420	91180956
SRR17243421	74475927
SRR17243422	86826261
SRR17243423	48565977
SRR17243424	41532231
SRR1776513	545043
SRR21529914	16816550
SRR21529915	12450794
SRR21529916	16758306
SRR21529917	17268145
SRR21529918	15999619
SRR21529919	27483247
SRR21529920	16145014
SRR21529921	15213770
SRR21529922	15251186
SRR21529923	13886968
SRR21529925	16728362
SRR21529926	18713067
SRR21529927	14202812
SRR21529928	16991287
SRR21529929	18851924
SRR21529930	14652099
SRR21529931	16860810
SRR21529932	17795608
SRR21529933	19639497
SRR21529934	20542626
SRR21529936	12779761
SRR21529937	21689628
SRR21529938	19958842
SRR21529939	22462173
SRR21529968	33320185
SRR21529969	14539798
SRR21529970	15548938
SRR21529971	14991590
SRR21529972	12793723
SRR21529973	14155820
SRR21529974	16632285
SRR21529976	6179735
SRR21529977	18839481
SRR21529978	13313389
SRR21529979	8901408
SRR21529980	10248734
SRR21529981	11494519
SRR21529982	8399123
SRR21529983	20096702
SRR21529984	21009916
SRR21529985	20993975
SRR21529988	17740434
SRR21529989	11499860
SRR21529990	14990217
SRR21529991	19659989
SRR21529992	11005965
SRR21529993	11747877
SRR21529994	11891175
SRR21529995	12750580
SRR21529996	11546017
SRR21529997	18628131
SRR21529999	21685872
SRR21530000	12965056
SRR21530001	9702871
SRR21530002	14702081
SRR21530003	16154643
SRR21530004	7982144
SRR21530005	13837115
SRR21530006	11162349
SRR21530007	17776743
SRR21530008	13959783
SRR21530010	15077824
SRR21530011	19982675
SRR21530012	13860646
SRR21530013	14645288
SRR21530014	19021565
SRR21530015	15284499
SRR21530016	20220309
SRR21530017	18764551
SRR21530018	19702210
SRR21530019	15965380
SRR21530021	11273371
SRR21530022	21071884
SRR21530023	15063136
SRR21530024	12078599
SRR21530025	16676699
SRR21530026	13808624
SRR21530027	9176331
SRR21530028	15271034
SRR21530029	16887256
SRR21530030	19138310
SRR21530032	14295085
SRR21530033	17166862
SRR21530034	16416644
SRR21530035	13836179
SRR21530036	12896882
SRR21530037	13493493
SRR21530038	15474478
SRR21530039	13961181
SRR21530040	16841008
SRR21530041	15195605
SRR21530043	15092763
SRR21530044	17941560
SRR21530045	13968950
SRR21530046	16170662
SRR21530047	18038952
SRR21530048	18400483
SRR21530049	13706671
SRR21530050	19765726
SRR21530051	15705170
SRR21530052	13061280
SRR21530054	17514724
SRR21530055	22666181
SRR21530056	27274671
SRR21530057	18002925
SRR21530058	21590011
SRR21530059	21750969
SRR21530060	21899794
SRR21530061	12806109
SRR21530062	20355424
SRR21530063	22327613
SRR21530095	21763536
SRR21530097	20013823
SRR21530098	17665038
SRR21530099	20938375
SRR21530100	12606966
SRR21530101	13226216
SRR21530102	15973013
SRR21530103	12685768
SRR21530104	20863389
SRR21530105	16869125
SRR21530106	15477590
SRR21530108	18140393
SRR21530109	22118606
SRR21530110	12680114
SRR21530111	17145135
SRR21530112	13621089
SRR21530113	17871171
SRR21530114	17001032
SRR21530115	13625098
SRR21530116	12818749
SRR21530117	18620150
SRR21530119	17534308
SRR21530120	15698557
SRR21530121	20300615
SRR21530122	9747703
SRR21530123	13210673
SRR21530124	15271048
SRR21530125	12426290
SRR21530126	14021054
SRR21530127	19293358
SRR21530128	15800016
SRR21722834	16126533
SRR21722837	13067652
SRR21722838	14375061
SRR21722839	11621698
SRR21722840	20335016
SRR21722841	17491972
SRR21722842	13477481
SRR21722843	13442961
SRR21722844	17011105
SRR21722845	10995735
SRR21722846	13310064
SRR21722847	14878108
SRR21722848	16074957
SRR21722849	15651491
SRR21722850	11289129
SRR21722851	13563999
SRR21722852	12665818
SRR21722853	17254648
SRR21722854	13059354
SRR21722855	13368257
SRR21722856	18701740
SRR21722857	15551310
SRR21722858	16265054
SRR21722859	15194000
SRR21722865	8182550
SRR21722876	7701166
SRR21722887	18561928
SRR21722899	12974721
SRR21722910	20340838
SRR21722921	17121868
SRR21722922	16559175
SRR21722923	8480422
SRR21722934	18263049
SRR21722940	13394582
SRR21722941	13531669
SRR21722942	19256334
SRR21722943	19041306
SRR21722944	16146224
SRR21722945	12182029
SRR21722946	14746623
SRR21722947	14946597
SRR21722948	18068942
SRR21722949	20957202
SRR21722950	15217077
SRR21722951	17792201
SRR21722952	19526509
SRR21722957	17105586
SRR21722968	19741560
SRR23246844	2286299
SRR23246845	3302247
SRR23246846	3094203
SRR23246847	2946465
SRR11836760	464342
SRR11836761	428447
SRR11836762	584095
SRR11836763	398689
SRR11836764	328429
SRR11836765	407149
SRR11836766	495085
SRR11836767	191375
SRR11836768	172243
SRR11836769	170700
SRR11836770	199158
SRR11836771	152047
SRR11836772	240376
SRR11836773	258081
SRR11836774	102834
SRR11836775	88152
SRR11836776	135120
SRR11836777	465862
SRR11836778	648187
SRR11836779	563534
SRR11836780	637754
SRR11836781	608149
SRR11836782	582839
SRR11836783	835771
SRR11836784	803024
SRR11836785	519251
SRR11836786	501444
SRR11836787	505088
SRR11836788	420633
SRR11836789	157449
SRR11836790	93835
SRR11836791	131341
SRR11836792	77040
SRR11836793	91229
SRR11836794	104048
SRR11836795	88703
SRR11836796	165454
SRR11836797	199869
SRR11836798	115298
SRR11836799	505513
SRR11836800	431813
SRR11836801	526891
SRR11836802	482786
SRR11836803	318328
SRR11836804	319468
SRR11836805	742337
SRR11836806	316431
SRR11836807	269978
SRR11836808	371925
SRR11836809	277052
SRR11836810	521953
SRR11836811	13536
SRR11836812	426106
SRR11836813	412338
SRR11836814	593058
SRR11836815	428201
SRR11836816	595904
SRR11836817	365464
SRR11836818	636350
SRR11836819	385790
SRR11836820	645799
SRR11836821	435946
SRR11836822	166033
SRR11836823	528561
SRR11836824	182867
SRR11836825	304801
SRR11836826	421576
SRR11836827	581925
SRR11836828	798002
SRR11836829	410702
SRR11836830	383766
SRR11836831	433334
SRR11836832	551430
SRR11836833	278502
SRR11836834	412930
SRR11836835	144810
SRR11836836	103695
SRR11836837	78459
SRR11836838	80383
SRR11836839	129661
SRR11836840	65805
SRR11836841	144023
SRR11836842	89385
SRR11836843	160469
SRR11836844	148330
SRR11836845	100768
SRR11836846	248853
SRR11836847	129585
SRR11836848	114988
SRR11836849	181958
SRR11836850	205355
SRR11836851	79457
SRR11836852	67046
SRR11836853	123353
SRR11836854	128906
SRR11836855	220476
SRR11836856	144485
SRR11836857	156144
SRR11836858	114912
SRR11836859	167965
SRR11836860	677937
SRR11836861	641226
SRR11836862	575018
SRR11836863	589771
SRR11836864	445417
SRR11836865	581625
SRR11836866	522029
SRR11836867	628177
SRR11836868	837037
SRR11836869	153575
SRR11836870	398048
SRR11836871	390571
SRR11836872	478645
SRR11836874	401170
SRR11836875	371312
SRR11836876	531698
SRR11836877	468219
SRR11836878	603611
SRR11836879	350444
SRR11836880	181614
SRR11836881	669401
SRR11836882	614418
SRR11836883	783185
SRR11836884	653152
SRR11836885	447014
SRR11836886	520117
SRR11836887	833700
SRR11836888	701869
SRR11836889	496472
SRR11836890	411574
SRR11836891	147167
SRR11836892	257790
SRR11836893	287997
SRR11836894	232378
SRR11836895	208058
SRR11836896	59507
SRR11836897	73338
SRR11836898	78062
SRR11836899	56611
SRR11836900	131401
SRR11836901	126508
SRR11836902	80643
SRR11836903	65712
SRR11836904	82668
SRR11836905	34098
SRR11836906	266562
SRR11836907	282234
SRR11836908	313757
SRR11836909	340325
SRR11836910	299411
SRR11836911	450750
SRR11836912	445459
SRR11836913	323155
SRR11836914	468921
SRR11836915	547070
SRR11836916	453013
SRR11836917	126397
SRR11836918	337822
SRR11836919	353988
SRR11836920	300433
SRR11836921	287762
SRR11836922	331189
SRR11836923	305077
SRR11836924	728615
SRR11836925	330453
SRR11836926	318176
SRR11836927	329516
SRR11836928	319456
SRR11836929	512375
SRR11836930	280990
SRR11836931	259486
SRR11836932	423217
SRR11836933	286350
SRR11836934	426212
SRR11836935	393334
SRR11836936	341138
SRR11836937	342390
SRR11836938	326414
SRR11836939	356016
SRR11836940	466743
SRR11836941	373443
SRR11836942	447717
SRR11836943	483126
SRR11836944	378100
SRR11836945	493758
SRR11836946	472364
SRR11836947	412288
SRR11836948	465781
SRR11836949	652161
SRR11836950	421684
SRR11836951	525693
SRR11836952	359686
SRR11836953	318490
SRR11836954	462348
SRR11836955	461195
SRR11836956	483103
SRR11836957	304029
SRR11836958	415035
SRR11836959	268766
SRR11836960	174891
SRR11836961	632879
SRR11836962	418882
SRR11836963	553551
SRR11836964	628041
SRR11836965	489225
SRR11836966	445851
SRR11836967	601982
SRR11836968	465833
SRR11836969	513938
SRR11836970	524061
SRR11836971	154580
SRR11836972	348354
SRR11836973	415572
SRR11836974	844106
SRR11836975	425533
SRR11836976	515272
SRR11836977	277116
SRR11836978	553177
SRR11836979	479019
SRR11836980	450648
SRR11836981	111634
SRR11836982	106997
SRR11836983	147759
SRR11836984	141225
SRR11836985	159407
SRR11836986	120166
SRR11836987	121518
SRR11836988	152824
SRR11836989	140920
SRR11836990	129381
SRR11836991	313499
SRR11836992	162033
SRR11836993	378204
SRR11836994	361892
SRR11836995	417390
SRR11836997	414767
SRR11836998	489281
SRR11836999	638908
SRR11837000	339520
SRR11837001	509484
SRR11837002	485463
SRR11837003	411221
SRR11837004	100127
SRR11837005	94127
SRR11837006	99331
SRR11837007	85649
SRR11837008	114754
SRR11837009	104685
SRR11837010	108465
SRR11837011	119345
SRR11837012	113835
SRR11837013	98979
SRR11837014	492630
SRR11837015	458553
SRR11837016	708960
SRR11837017	530584
SRR11837018	309224
SRR11837019	498669
SRR11837020	56966
SRR11837021	101526
SRR11837022	118046
SRR11837023	81733
SRR11837024	114431
SRR11837025	117649
SRR11837026	145073
SRR11837027	161675
SRR11837028	97769
SRR11837029	103520
SRR11837030	182804
SRR11837031	311673
SRR11837032	190439
SRR11837033	296110
SRR11837034	236777
SRR11837035	540083
SRR11837036	133481
SRR11837037	330066
SRR11837038	130498
SRR11837039	109029
SRR11837040	259493
SRR11837041	157344
SRR11837042	160321
SRR11837043	94335
SRR11837044	118476
SRR11837045	117156
SRR11837046	105061
SRR11837047	141479
SRR11837048	207534
SRR11837049	73787
SRR11837050	62193
SRR11837052	103228
SRR11837053	103453
SRR11837054	153727
SRR11837055	153201
SRR11837056	132966
SRR11837057	138712
SRR11837058	170605
SRR11837059	179223
SRR11837060	870439
SRR11837061	443737
SRR11837062	563227
SRR11837063	322531
SRR11837064	615353
SRR11837065	585641
SRR11837066	679508
SRR11837067	576962
SRR11837068	479295
SRR11837069	1129075
SRR21529924	10387
SRR21529935	102320
SRR21529940	94587
SRR21529941	65244
SRR21529942	1448
SRR21529943	9242
SRR21529945	116876
SRR21529946	198063
SRR21529947	32102
SRR21529948	157125
SRR21529949	64692
SRR21529950	149291
SRR21529951	208051
SRR21529952	344663
SRR21529953	22021
SRR21529954	30340
SRR21529955	3426
SRR21529956	188828
SRR21529957	303311
SRR21529958	485375
SRR21529959	682215
SRR21529960	177638
SRR21529961	1957
SRR21529962	589510
SRR21529963	405170
SRR21529964	3219
SRR21529965	1268
SRR21529966	74210
SRR21529967	70854
SRR21529975	19685
SRR21529986	159765
SRR21529987	365632
SRR21529998	234729
SRR21530009	112791
SRR21530020	63655
SRR21530031	9553
SRR21530042	872624
SRR21530053	10947
SRR21530064	1305927
SRR21530065	683
SRR21530066	213
SRR21530067	307264
SRR21530068	38886
SRR21530069	60865
SRR21530070	46487
SRR21530071	2289514
SRR21530072	231622
SRR21530073	175729
SRR21530074	81592
SRR21530075	291578
SRR21530076	113266
SRR21530077	112617
SRR21530078	1032
SRR21530079	3902
SRR21530080	32674
SRR21530081	521553
SRR21530082	1631
SRR21530083	70443
SRR21530084	356504
SRR21530085	103168
SRR21530086	152006
SRR21530087	614444
SRR21530088	87329
SRR21530089	1638748
SRR21530090	355411
SRR21530091	3916
SRR21530092	45923
SRR21530093	235087
SRR21530094	20711
SRR21530096	1349
SRR21530107	3544
SRR21530118	4020
SRR21530129	214758
SRR21530130	1061
SRR21530131	1993
SRR21722828	492725
SRR21722829	141343
SRR21722830	30558
SRR21722831	117685
SRR21722832	82187
SRR21722833	320328
SRR21722835	43340
SRR21722836	3354
SRR21722874	87415
SRR21722875	20511
SRR21722877	26909
SRR21722878	305328
SRR21722879	91396
SRR21722880	592389
SRR21722881	680667
SRR21722882	1602682
SRR21722883	356554
SRR21722884	67785
SRR21722885	30582
SRR21722886	944
SRR21722888	113410
SRR21722889	78763
SRR21722890	71071
SRR21722891	103784
