,,Zhang(A —> B),Zhang(B —> A),Support A,Support B,(A U B)
BCoV,BEVE,0.6668156224863706,0.47588978185993125,0.4109347442680776,0.1746031746031746,0.11816578483245149
BCoV,BHKV,0.22896312637882132,0.14511135523819038,0.4109347442680776,0.07054673721340388,0.03350970017636684
BCoV,BHV1,0.7674650698602794,0.4827369742623981,0.4109347442680776,0.06349206349206349,0.047619047619047616
BCoV,BNV,-0.362899380066762,-0.2601709401709401,0.4109347442680776,0.04585537918871252,0.014109347442680775
BCoV,BPIV3,0.5058632734530938,0.32121356147021546,0.4109347442680776,0.07231040564373897,0.042328042328042326
BCoV,BPV,0.16287425149700593,0.09784172661870501,0.4109347442680776,0.019400352733686066,0.008818342151675485
BCoV,BRSV,-0.2036242250834524,-0.1337719298245613,0.4109347442680776,0.024691358024691357,0.008818342151675485
BCoV,BVDV1,0.457418496340652,0.2772736438798145,0.4109347442680776,0.02821869488536155,0.015873015873015872
BCoV,BrAv,0.32353474868444926,0.21526017143547024,0.4109347442680776,0.1146384479717813,0.0582010582010582
BCoV,BrBv,0.5576164743683365,0.4301244860023658,0.4109347442680776,0.23633156966490299,0.14462081128747795
BCoV,Histophilus,-0.1734910876541776,-0.15171597633136077,0.4109347442680776,0.30864197530864196,0.1128747795414462
BCoV,IDV,0.4020530367835758,0.26074895977808604,0.4109347442680776,0.09171075837742504,0.04938271604938271
BCoV,Mannheimia,-0.19137229008473658,-0.2317739570838333,0.4109347442680776,0.5379188712522046,0.19400352733686066
BCoV,Moraxella,-0.13507542420455967,-0.21809941520467807,0.4109347442680776,0.6701940035273368,0.25220458553791886
BCoV,Mycoplasma,-0.11887230775288425,-0.1732667584940313,0.4109347442680776,0.6208112874779541,0.23633156966490299
BCoV,Pasteurella,-0.14453828049286996,-0.17287630402384496,0.4109347442680776,0.5238095238095238,0.19576719576719576
BEVE,BHKV,0.5064102564102565,0.4497153700189754,0.1746031746031746,0.07054673721340388,0.021164021164021163
BEVE,BHV1,0.6257396449704143,0.5514993481095176,0.1746031746031746,0.06349206349206349,0.02292768959435626
BEVE,BNV,0.5240384615384616,0.4533271719038818,0.1746031746031746,0.04585537918871252,0.014109347442680775
BEVE,BPIV3,0.7550607287449395,0.6718030818491095,0.1746031746031746,0.07231040564373897,0.03350970017636684
BEVE,BPV,-0.5272727272727272,-0.484230055658627,0.1746031746031746,0.019400352733686066,0.001763668430335097
BEVE,BRSV,0.22435897435897448,0.18987341772151906,0.1746031746031746,0.024691358024691357,0.005291005291005291
BEVE,BVDV1,0.903846153846154,0.7676950998185118,0.1746031746031746,0.02821869488536155,0.019400352733686066
BEVE,BrAv,-0.14049586776859493,-0.13223854796888496,0.1746031746031746,0.1146384479717813,0.01763668430335097
BEVE,BrBv,0.6866096866096867,0.7421093148575828,0.1746031746031746,0.23633156966490299,0.09523809523809523
BEVE,Histophilus,-0.39002932551319647,-0.43291139240506327,0.1746031746031746,0.30864197530864196,0.03527336860670194
BEVE,IDV,0.29487179487179493,0.2679611650485437,0.1746031746031746,0.09171075837742504,0.021164021164021163
BEVE,Mannheimia,-0.2241498959056211,-0.3403981264637002,0.1746031746031746,0.5379188712522046,0.07583774250440917
BEVE,Moraxella,-0.14850367024280064,-0.30385109114249026,0.1746031746031746,0.6701940035273368,0.10229276895943562
BEVE,Mycoplasma,-0.06740878169449585,-0.13594789356984455,0.1746031746031746,0.6208112874779541,0.10229276895943562
BEVE,Pasteurella,-0.13364722926475922,-0.21097770154373943,0.1746031746031746,0.5238095238095238,0.08112874779541446
BHKV,BHV1,0.3927893738140418,0.38983050847457634,0.07054673721340388,0.06349206349206349,0.007054673721340388
BHKV,BNV,0.7469955724225175,0.7276648182378311,0.07054673721340388,0.04585537918871252,0.010582010582010581
BHKV,BPIV3,0.038583175205566214,0.038656527249683256,0.07054673721340388,0.07231040564373897,0.005291005291005291
BHKV,BPV,-1.0,-1.0,0.07054673721340388,0.019400352733686066,0.0
BHKV,BRSV,0.5445920303605313,0.5189873417721519,0.07054673721340388,0.024691358024691357,0.003527336860670194
BHKV,BVDV1,0.8330170777988615,0.7967332123411979,0.07054673721340388,0.02821869488536155,0.008818342151675485
BHKV,BrAv,-0.36250000000000004,-0.3738045738045738,0.07054673721340388,0.1146384479717813,0.005291005291005291
BHKV,BrBv,0.29353379068749097,0.3572570616450525,0.07054673721340388,0.23633156966490299,0.02292768959435626
BHKV,Histophilus,-0.28569277108433727,-0.3496774193548386,0.07054673721340388,0.30864197530864196,0.015873015873015872
BHKV,IDV,0.41808981657179006,0.42783171521035607,0.07054673721340388,0.09171075837742504,0.010582010582010581
BHKV,Mannheimia,-0.5070578231292517,-0.6741661955907294,0.07054673721340388,0.5379188712522046,0.019400352733686066
BHKV,Moraxella,-0.22931754874651805,-0.45609418282548475,0.07054673721340388,0.6701940035273368,0.037037037037037035
BHKV,Mycoplasma,-0.28997005988023944,-0.5002582644628097,0.07054673721340388,0.6208112874779541,0.031746031746031744
BHKV,Pasteurella,-0.5409407665505227,-0.696969696969697,0.07054673721340388,0.5238095238095238,0.01763668430335097
BHV1,BNV,0.7740112994350282,0.7597042513863216,0.06349206349206349,0.04585537918871252,0.010582010582010581
BHV1,BPIV3,-1.0,-1.0,0.06349206349206349,0.07231040564373897,0.0
BHV1,BPV,0.8192090395480227,0.7823741007194247,0.06349206349206349,0.019400352733686066,0.005291005291005291
BHV1,BRSV,0.5932203389830508,0.5696202531645569,0.06349206349206349,0.024691358024691357,0.003527336860670194
BHV1,BVDV1,0.9593220338983051,0.9245009074410164,0.06349206349206349,0.02821869488536155,0.01763668430335097
BHV1,BrAv,0.7288135593220338,0.7709163346613546,0.06349206349206349,0.1146384479717813,0.02292768959435626
BHV1,BrBv,-0.5461538461538461,-0.5960820895522388,0.06349206349206349,0.23633156966490299,0.007054673721340388
BHV1,Histophilus,0.6850738108255879,0.9279953917050693,0.06349206349206349,0.30864197530864196,0.054673721340388004
BHV1,IDV,0.36271186440677966,0.3739805825242719,0.06349206349206349,0.09171075837742504,0.008818342151675485
BHV1,Mannheimia,0.4934086629001883,1.0,0.06349206349206349,0.5379188712522046,0.06349206349206349
BHV1,Moraxella,0.352165725047081,0.9999999999999999,0.06349206349206349,0.6701940035273368,0.06349206349206349
BHV1,Mycoplasma,0.40489642184557445,1.0000000000000002,0.06349206349206349,0.6208112874779541,0.06349206349206349
BHV1,Pasteurella,0.5084745762711864,1.0,0.06349206349206349,0.5238095238095238,0.06349206349206349
BNV,BPIV3,-1.0,-1.0,0.04585537918871252,0.07231040564373897,0.0
BNV,BPV,0.7837338262476896,0.7625899280575541,0.04585537918871252,0.019400352733686066,0.003527336860670194
BNV,BRSV,0.3752310536044362,0.36708860759493667,0.04585537918871252,0.024691358024691357,0.001763668430335097
BNV,BVDV1,0.9839802834257546,0.9661222020568663,0.04585537918871252,0.02821869488536155,0.021164021164021163
BNV,BrAv,0.7640732649974794,0.8234335385729807,0.04585537918871252,0.1146384479717813,0.019400352733686066
BNV,BrBv,-0.02463942307692299,-0.03059701492537303,0.04585537918871252,0.23633156966490299,0.010582010582010581
BNV,Histophilus,0.4873690696241528,0.6726190476190477,0.04585537918871252,0.30864197530864196,0.026455026455026454
BNV,IDV,0.7703840624358185,0.809277238403452,0.04585537918871252,0.09171075837742504,0.015873015873015872
BNV,Mannheimia,0.13193160813308677,0.2724236641221372,0.04585537918871252,0.5379188712522046,0.02821869488536155
